compared_files,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NMG_MATLAB_20_dt_5.50e-06_Nx_64_periodic_dt_out_175p_NMG_Python_20_dt_5.50e-06_Nx_64_periodic_dtout_175p,1.264285563929513e-15,5.731180446837049e-13,3.5064597672939175e-11,6.844693286248084e-11,8.758866786496597e-11,9.581247947279288e-11,9.789505519754e-11,9.655174257883729e-11,9.33384392618747e-11,8.916375527984278e-11,8.455490614125525e-11,7.985850282605119e-11,7.526016162907122e-11,7.087581221185279e-11,6.675906593901431e-11,6.293566624426549e-11,7.08861079186009e-11,8.660599994545198e-11,1.000821213795229e-10,1.0995777243589229e-10,1.16666695095691e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_128_neumann_dt_out_175p_NMG_Python_20_dt_5.50e-06_Nx_128_neumann_dtout_175p,3.1164426306064447e-16,6.425341995418094e-13,7.405715879460004e-12,3.198149037323209e-11,4.664297860014871e-11,6.617690533838257e-11,8.412963699087902e-11,9.43179051433022e-11,9.898279622434777e-11,1.0011892613534165e-10,9.906323904295027e-11,9.668367371978799e-11,9.352984352906688e-11,8.995688273183479e-11,7.251533495037728e-11,7.637638008839829e-11,8.60132138751724e-11,9.474308044388711e-11,1.0107740843321092e-10,1.0506748783825621e-10,1.0713376361768782e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_64_neumann_dt_out_175p_NMG_Python_20_dt_5.50e-06_Nx_64_neumann_dtout_175p,1.264285563929513e-15,5.394553427917984e-13,3.1437081783865886e-11,5.963009241443026e-11,7.590008914185197e-11,8.263374169510367e-11,8.403759583297451e-11,8.25227044307529e-11,7.945283117852175e-11,7.562257730423659e-11,7.149274680519975e-11,6.732949239469071e-11,6.326992943363467e-11,5.940094282555038e-11,5.57496556144907e-11,6.50744790942174e-11,8.135799268335101e-11,9.447078904311136e-11,1.0354677821886763e-10,1.0926462609385737e-10,1.1241812405395284e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_128_periodic_dt_out_175p_NMG_Python_20_dt_5.50e-06_Nx_128_periodic_dtout_175p,3.1164426306064447e-16,6.359022118717513e-13,7.981973265139985e-12,3.3757951010395497e-11,4.9260457157316885e-11,5.449083423798311e-11,6.701197029508228e-11,8.28194128099498e-11,9.3585450429518e-11,9.998876652056267e-11,1.0336462920365163e-10,1.0475996653794121e-10,1.0487691285021575e-10,1.0422466624638233e-10,1.0311740223560689e-10,1.017638078039225e-10,8.354509158031859e-11,8.162069712664097e-11,8.606160086741684e-11,9.157262301968913e-11,9.629037523227773e-11
NMG_MATLAB_20_dt_5.50e-06_Nx_256_neumann_dt_out_175p_NMG_Python_20_dt_5.50e-06_Nx_256_neumann_dtout_175p,2.8709536634571148e-16,2.8859202123823606e-13,3.712250599446706e-11,5.410435124068353e-11,6.09287269684948e-11,7.961556453630513e-11,9.592473181257094e-11,1.0621654992386687e-10,1.1179284729175887e-10,1.1412567294303104e-10,1.1432831125137828e-10,1.1318805270885408e-10,1.1123685807511342e-10,1.3891790915321362e-10,1.596832211064333e-10,1.738186491301168e-10,1.8278826250705178e-10,1.8793592781700557e-10,1.9032491684188524e-10,1.907396745241704e-10,1.8976723898373832e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_256_periodic_dt_out_175p_NMG_Python_20_dt_5.50e-06_Nx_256_periodic_dtout_175p,2.8709536634571148e-16,2.794356008923871e-13,3.8358566440516673e-11,5.573413707790511e-11,6.260962174502258e-11,8.147118340300296e-11,9.78762979796948e-11,1.0813716331836897e-10,1.1360857017230972e-10,1.1581032320383035e-10,1.1587142802300595e-10,1.1459433029549809e-10,1.1251390012694504e-10,1.4076877252807082e-10,1.6186469281036578e-10,1.7614402852157594e-10,1.8514129899329495e-10,1.9026077864695948e-10,1.9258931171757117e-10,1.9293817331771326e-10,1.9189828705229338e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_512_periodic_dt_out_175p_NMG_Python_20_dt_5.50e-06_Nx_512_periodic_dtout_175p,2.884340133300983e-16,3.962509585227733e-13,1.7143509439750004e-11,2.6677494779521425e-11,3.147511154312922e-11,3.5327596904230804e-11,3.8930207494504705e-11,4.2418825364285683e-11,4.586582131213485e-11,4.933150295843524e-11,5.285082518402674e-11,6.280096291607732e-11,7.15216226901437e-11,7.850732640903727e-11,8.420641175232939e-11,8.905063398803803e-11,9.337966446490387e-11,9.740832724994624e-11,1.013312294739674e-10,1.05257431746743e-10,1.0928240094697469e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_512_neumann_dt_out_175p_NMG_Python_20_dt_5.50e-06_Nx_512_neumann_dtout_175p,2.884340133300983e-16,3.858218343278435e-13,1.5689217610115327e-11,2.18036240134602e-11,2.285186624437943e-11,2.3050435108517485e-11,2.3116859831857042e-11,2.3063555783155536e-11,2.2886080951972424e-11,2.260643485844316e-11,3.715572506681236e-11,4.6976245385598326e-11,5.329986840558444e-11,5.728324718453025e-11,5.97019755280718e-11,6.107040606280807e-11,6.173600025568643e-11,6.195349490591451e-11,6.189648266220425e-11,6.169359445856029e-11,6.144811205518899e-11
NMG_MATLAB_20_dt_5.50e-06_Nx_128_neumann_dt_out_150p_NMG_Python_20_dt_5.50e-06_Nx_128_neumann_dtout_150p,2.6897512108219033e-16,7.248289898049317e-13,2.0635444606370577e-11,3.047726555342302e-11,3.4839937882555064e-11,3.633204917279708e-11,3.312523102360253e-11,5.063179674066469e-11,6.239180205850854e-11,6.88499793087999e-11,7.176832235145185e-11,7.748186851188611e-11,9.482422739247597e-11,1.1110465742185545e-10,1.23805133355228e-10,1.3298765051222518e-10,1.3924721749456687e-10,1.4318627046079883e-10,1.4534210815536216e-10,1.4612322473162508e-10,1.4587227532976321e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_64_periodic_dt_out_150p_NMG_Python_20_dt_5.50e-06_Nx_64_periodic_dtout_150p,7.839095414616549e-16,6.363348581900694e-13,5.197748820761693e-12,7.668049245362526e-12,3.860105476372585e-11,5.370306861843699e-11,7.882604458636183e-11,9.769389875121604e-11,1.0884285989926758e-10,1.1464136725350444e-10,1.1693408836417783e-10,1.1692029489999897e-10,1.1541284854279051e-10,1.1292884389826053e-10,1.0980489644105921e-10,1.062862752372744e-10,1.0253106759105191e-10,9.867132748913633e-11,9.478994480922546e-11,9.09621080673751e-11,8.722203148937367e-11
