compared_files,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NMG_MATLAB_20_dt_5.50e-06_Nx_128_periodic_dt_out_150p_NMG_Python_20_dt_5.50e-06_Nx_128_periodic_dtout_150p,2.6897512108219033e-16,7.155607579054415e-13,2.242232639339198e-11,3.299806276971123e-11,3.7662588540276924e-11,3.924126647646735e-11,3.510273365595465e-11,5.3956978533217736e-11,6.65313323308433e-11,7.337440559075883e-11,7.641893786505295e-11,7.704333404070647e-11,7.972185405052908e-11,9.396821127255412e-11,1.0842684832493915e-10,1.202830572489821e-10,1.2931360867670419e-10,1.3590718465389824e-10,1.4055317449746808e-10,1.436849528962051e-10,1.4565859180517876e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_64_neumann_dt_out_150p_NMG_Python_20_dt_5.50e-06_Nx_64_neumann_dtout_150p,7.839095414616549e-16,6.297531206083787e-13,4.808737567457985e-12,7.0256536813329325e-12,3.549318986278293e-11,7.36656907625969e-11,9.744906841342712e-11,1.0962732886248606e-10,1.1472069664175985e-10,1.1560683846003276e-10,1.1400619807158464e-10,1.1098621768104123e-10,1.071681077968443e-10,1.0293741685263984e-10,9.854187487892112e-11,9.412448268256102e-11,8.976941303383505e-11,8.55396858656433e-11,8.146745707185138e-11,8.673181991257678e-11,1.0157305378755141e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_256_periodic_dt_out_150p_NMG_Python_20_dt_5.50e-06_Nx_256_periodic_dtout_150p,1.8192042129390763e-16,1.1726854607652737e-13,1.5803488650407043e-11,6.31770634140154e-11,9.647846773544505e-11,1.1897405053648065e-10,1.3401930516461745e-10,1.4387010389173981e-10,1.5005593601101944e-10,1.5362628062855613e-10,1.5531321025421376e-10,1.556393712031734e-10,1.5497703542686148e-10,1.5360503500098968e-10,1.5172413524105272e-10,1.4949037808341495e-10,1.4701437151258717e-10,1.4438483934527938e-10,1.5075131500539478e-10,1.6470011430556076e-10,1.8188878779677269e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_256_neumann_dt_out_150p_NMG_Python_20_dt_5.50e-06_Nx_256_neumann_dtout_150p,1.8192042129390763e-16,1.1812532494583694e-13,1.5285929382909956e-11,6.140059863928599e-11,9.386858454795943e-11,1.1584627558827254e-10,1.3056094004325383e-10,1.4019790668419346e-10,1.4624159280037533e-10,1.4972068646547283e-10,1.5135365257268117e-10,1.5165383630895905e-10,1.5099186192202235e-10,1.496415867523613e-10,1.4780228871064247e-10,1.4562374516386409e-10,1.5385536357486115e-10,1.6979594442111916e-10,1.8884270981310905e-10,2.0851828895046006e-10,2.2765653328555407e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_512_neumann_dt_out_150p_NMG_Python_20_dt_5.50e-06_Nx_512_neumann_dtout_150p,2.0907811375402825e-16,4.2448176341174865e-13,2.0217279836123174e-11,2.1959687635764535e-11,1.9627387992687755e-11,1.701066770998522e-11,3.255958725201692e-11,3.706844278323778e-11,3.743131298344284e-11,3.648646442474683e-11,3.5283222528361796e-11,3.417523454799678e-11,3.325493362798729e-11,3.2543074602459126e-11,3.20243323148373e-11,3.1672771600463754e-11,3.1474070805793075e-11,3.1395319775888166e-11,3.141802993989009e-11,3.151474388294987e-11,3.166516977487984e-11
NMG_MATLAB_20_dt_5.50e-06_Nx_512_periodic_dt_out_150p_NMG_Python_20_dt_5.50e-06_Nx_512_periodic_dtout_150p,2.0907811375402825e-16,4.270840384819215e-13,2.0724825371648557e-11,2.2470416199737595e-11,2.015163260420106e-11,1.760580881299244e-11,3.351622884007341e-11,3.8525398302021757e-11,3.9511685160166625e-11,3.928594397663502e-11,3.886643553293981e-11,3.859125912231691e-11,3.854829548801663e-11,3.87483923199432e-11,3.9168842875417446e-11,3.9794998190563015e-11,4.059640778632843e-11,4.1538045832280474e-11,4.2594785860077244e-11,4.3758737542344207e-11,4.498370309290392e-11
NMG_MATLAB_20_dt_5.50e-06_Nx_128_neumann_dt_out_125p_NMG_Python_20_dt_5.50e-06_Nx_128_neumann_dtout_125p,2.8319423464234674e-16,4.361120719060563e-13,6.100265226821909e-12,2.4638408482275536e-11,3.688499016580409e-11,5.573401253815356e-11,7.283156845391748e-11,8.287147979148707e-11,8.783988130188797e-11,8.948999322973102e-11,8.900489390238569e-11,8.71845643074939e-11,8.454440094882765e-11,6.651491981105209e-11,7.251346296476316e-11,8.40457324376644e-11,9.388829121442958e-11,1.0078578411302007e-10,1.0501065792198761e-10,1.0711737756169009e-10,1.0762013583373761e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_128_periodic_dt_out_125p_NMG_Python_20_dt_5.50e-06_Nx_128_periodic_dtout_125p,2.8319423464234674e-16,4.3945281683664973e-13,6.5126646009595865e-12,2.619963492170881e-11,3.917693863398899e-11,5.961285694428061e-11,7.816228107254991e-11,8.901991866578695e-11,9.445527827414282e-11,9.638474345216114e-11,9.610273514622444e-11,9.445390709265167e-11,9.197741325886938e-11,8.904002190552652e-11,7.038229112715511e-11,7.210003343771155e-11,8.019426991808275e-11,8.801359386265516e-11,9.387917332830305e-11,9.770338552651515e-11,9.980661908423852e-11
NMG_MATLAB_20_dt_5.50e-06_Nx_64_periodic_dt_out_125p_NMG_Python_20_dt_5.50e-06_Nx_64_periodic_dtout_125p,1.4358140743452606e-15,7.145898588232039e-13,4.267396459424777e-11,5.937419914628217e-11,8.15461888361148e-11,9.632286125263878e-11,1.0248780457334234e-10,1.0319766540971696e-10,1.0082303949527793e-10,9.683556637656677e-11,9.211824518329931e-11,8.717133719645777e-11,8.227949256448151e-11,7.759650131004002e-11,7.31619707482439e-11,6.902089950879046e-11,6.516811128460124e-11,7.332015714318116e-11,8.893733961215302e-11,1.0262858790223484e-10,1.1293592517883095e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_64_neumann_dt_out_125p_NMG_Python_20_dt_5.50e-06_Nx_64_neumann_dtout_125p,1.4358140743452606e-15,6.649571218241937e-13,3.997331341876874e-11,5.531985881289646e-11,7.412137334358832e-11,8.577173902734934e-11,8.984811949438721e-11,8.933943858061815e-11,8.634598913781854e-11,8.214744467607234e-11,7.750006149124852e-11,7.27959766117599e-11,6.826421658675928e-11,6.399556450838568e-11,6.003838936130682e-11,7.265714989005293e-11,9.173790790158926e-11,1.0670613083579308e-10,1.1696441084839139e-10,1.2342049417149192e-10,1.269971880191497e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_256_periodic_dt_out_125p_NMG_Python_20_dt_5.50e-06_Nx_256_periodic_dtout_125p,2.880556538623614e-16,1.7235732551593773e-13,4.1296731147198065e-11,6.52707982024561e-11,7.906032177080491e-11,8.66416870057001e-11,9.038066035225953e-11,9.172363803893632e-11,9.155962331300169e-11,1.2380717467991015e-10,1.4657732047131457e-10,1.6141515227142214e-10,1.704401401035417e-10,1.753125726041178e-10,1.7723168536567628e-10,1.7705639301489684e-10,1.7540133343033298e-10,1.7272212252210572e-10,1.6934448389862905e-10,1.6550461191572345e-10,1.6138747215371527e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_256_neumann_dt_out_125p_NMG_Python_20_dt_5.50e-06_Nx_256_neumann_dtout_125p,2.880556538623614e-16,1.7852537328103498e-13,3.9319017068803165e-11,6.246272612406057e-11,7.597588158613916e-11,8.35528840717043e-11,8.740851289664e-11,8.890728389039998e-11,8.89133499964256e-11,1.2010520416038935e-10,1.4221827824354837e-10,1.5675743045736306e-10,1.65699130783373e-10,1.7060666357419242e-10,1.7262822314600316e-10,1.7258553688960592e-10,1.7108900233424322e-10,1.6856721037719537e-10,1.6533807027051335e-10,1.6163913669415393e-10,1.5764105672556662e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_512_periodic_dt_out_125p_NMG_Python_20_dt_5.50e-06_Nx_512_periodic_dtout_125p,2.879288577217962e-16,4.999799333854546e-13,4.221735813069651e-12,4.081700330596873e-12,1.4154030324506286e-11,1.4939483384227134e-11,2.5141913241843467e-11,3.358412068349209e-11,4.033505549224435e-11,4.609393741039532e-11,5.1284232262538715e-11,5.615269270693971e-11,6.08349364194985e-11,6.54299483061852e-11,7.771364816807221e-11,8.846125155045212e-11,9.735828371694294e-11,1.0486194427569489e-10,1.114066165298471e-10,1.1731674101516642e-10,1.2284842602794038e-10
NMG_MATLAB_20_dt_5.50e-06_Nx_512_neumann_dt_out_125p_NMG_Python_20_dt_5.50e-06_Nx_512_neumann_dtout_125p,2.879288577217962e-16,4.988461457477051e-13,3.892047160866933e-12,3.6341476303388693e-12,1.307056718050298e-11,2.16022560778651e-11,2.5761233065069233e-11,2.8003190712478786e-11,2.926468620800158e-11,2.993630062620103e-11,3.0221879770954043e-11,3.0265705797194745e-11,3.016817149867631e-11,2.999797596507474e-11,4.190465510169027e-11,5.089649598176581e-11,5.7187544966987696e-11,6.153780823889405e-11,6.453104045455596e-11,6.657999515193e-11,6.797663437199689e-11
