language,method,GridSize,print,boundary,IC_percent_+1,date
Julia,NMG,64,False,neumann,50p,1
Julia,NMG,64,False,periodic,50p,1
Julia,NMG,64,True,neumann,_75p,1
Julia,NMG,64,True,periodic,50p,1
Julia,NMG,64,True,periodic,_25p,1
Julia,NMG,64,True,periodic,_75p,1
Julia,NMG,128,False,neumann,50p,1
Julia,NMG,128,False,neumann,_75p,1
Julia,NMG,128,False,periodic,50p,1
Julia,NMG,128,False,periodic,_75p,1
Julia,NMG,128,True,neumann,50p,1
Julia,NMG,128,True,neumann,_25p,1
Julia,NMG,128,True,neumann,_75p,1
Julia,NMG,128,True,periodic,50p,1
Julia,NMG,128,True,periodic,_25p,1
Julia,NMG,128,True,periodic,_75p,1
Julia,NMG,256,False,neumann,50p,1
Julia,NMG,256,False,neumann,_25p,1
Julia,NMG,256,False,neumann,_75p,1
Julia,NMG,256,False,periodic,50p,1
Julia,NMG,256,False,periodic,_25p,1
Julia,NMG,256,False,periodic,_75p,1
Julia,NMG,256,True,neumann,50p,1
Julia,NMG,256,True,neumann,_25p,1
Julia,NMG,256,True,neumann,_75p,1
Julia,NMG,256,True,periodic,50p,1
Julia,NMG,256,True,periodic,_25p,1
Julia,NMG,256,True,periodic,_75p,1
Julia,NMG,512,False,neumann,50p,1
Julia,NMG,512,False,neumann,_25p,1
Julia,NMG,512,False,neumann,_75p,1
Julia,NMG,512,False,periodic,50p,1
Julia,NMG,512,False,periodic,_25p,1
Julia,NMG,512,False,periodic,_75p,1
Julia,NMG,512,True,neumann,50p,1
Julia,NMG,512,True,neumann,_25p,1
Julia,NMG,512,True,neumann,_75p,1
Julia,NMG,512,True,periodic,50p,1
Julia,NMG,512,True,periodic,_25p,1
Julia,NMG,512,True,periodic,_75p,1
Julia,SAV,64,False,neumann,50p,1
Julia,SAV,64,False,neumann,_75p,1
Julia,SAV,64,False,periodic,50p,1
Julia,SAV,64,False,periodic,_25p,1
Julia,SAV,64,False,periodic,_75p,1
Julia,SAV,64,True,neumann,_25p,1
Julia,SAV,64,True,periodic,50p,1
Julia,SAV,64,True,periodic,_25p,1
Julia,SAV,64,True,periodic,_75p,1
Julia,SAV,128,False,neumann,50p,1
Julia,SAV,128,False,neumann,_25p,1
Julia,SAV,128,False,neumann,_75p,1
Julia,SAV,128,False,periodic,50p,1
Julia,SAV,128,False,periodic,_25p,1
Julia,SAV,128,True,neumann,50p,1
Julia,SAV,128,True,neumann,_25p,1
Julia,SAV,128,True,neumann,_75p,1
Julia,SAV,128,True,periodic,50p,1
Julia,SAV,128,True,periodic,_75p,1
Julia,SAV,256,False,neumann,50p,1
Julia,SAV,256,False,neumann,_25p,1
Julia,SAV,256,False,neumann,_75p,1
Julia,SAV,256,False,periodic,50p,1
Julia,SAV,256,False,periodic,_25p,1
Julia,SAV,256,False,periodic,_75p,1
Julia,SAV,256,True,neumann,50p,1
Julia,SAV,256,True,neumann,_25p,1
Julia,SAV,256,True,neumann,_75p,1
Julia,SAV,256,True,periodic,_25p,1
Julia,SAV,256,True,periodic,_75p,1
Julia,SAV,512,False,neumann,50p,1
Julia,SAV,512,False,neumann,_25p,1
Julia,SAV,512,False,neumann,_75p,1
Julia,SAV,512,False,periodic,50p,1
Julia,SAV,512,False,periodic,_25p,1
Julia,SAV,512,False,periodic,_75p,1
Julia,SAV,512,True,neumann,50p,1
Julia,SAV,512,True,neumann,_25p,1
Julia,SAV,512,True,neumann,_75p,1
Julia,SAV,512,True,periodic,50p,1
Julia,SAV,512,True,periodic,_25p,1
Julia,SAV,512,True,periodic,_75p,1
MATLAB,NMG,64,False,neumann,50p,1
MATLAB,NMG,64,False,neumann,_25p,1
MATLAB,NMG,64,False,neumann,_75p,1
MATLAB,NMG,64,False,periodic,50p,1
MATLAB,NMG,64,False,periodic,_25p,1
MATLAB,NMG,64,False,periodic,_75p,1
MATLAB,NMG,64,True,neumann,50p,1
MATLAB,NMG,64,True,neumann,_25p,1
MATLAB,NMG,64,True,neumann,_75p,1
MATLAB,NMG,64,True,periodic,50p,1
MATLAB,NMG,64,True,periodic,_25p,1
MATLAB,NMG,64,True,periodic,_75p,1
MATLAB,NMG,128,False,neumann,50p,1
MATLAB,NMG,128,False,neumann,_25p,1
