case_label,GridSize,dt_big,dt_small,n_big,n_ref,small_dt_explicit_vs_implicit_RMSE,small_dt_implicit_mass_error,explicit_big_blowup_step_NaN_if_not_stopped,explicit_big_max_abs_phi,explicit_big_failed,implicit_big_mass_error,implicit_big_energy_ratio,implicit_big_newton_iter_mean,implicit_big_newton_iter_max,implicit_big_newton_all_ok,implicit_big_newton_res_max,implicit_big_vs_explicit_reference_RMSE,implicit_big_vs_explicit_reference_corr,implicit_big_elapsed_seconds,explicit_reference_elapsed_seconds
N64_full_gate,64,2.2e-05,2.2e-07,200,20000,0.000760606552141406,1.33356867215717e-17,5,492639.445797801,1,1.32272665043232e-17,0.535113840182022,2.02,3,1,2.73348405169354e-10,0.00041374952891577,0.999999470904198,9.11489705,6.918771101
N128_early,128,5.5e-06,5.5e-08,20,2000,NaN,NaN,5,663513.742440111,1,9.59518922649671e-18,0.563456964304076,2.2,3,1,5.37641798478416e-10,0.00180006873728301,0.999952230142557,4.193997577,2.049844227
